item_id,supplier_id,supplier_name,season,supplier_reference,supplier_reference_description,purchase_price,length,width,height,weight,hscode6,hscode10,main,sub,detail,level4,item_type,materials,dataset
73196,1312,Umiss ,2026_AW,CS-13_25cm_off white,120gsm paper with magnet ， no metallic gold paint   Size：18.5*H25cm,1.15,18.5,18.5,25.0,60.0,482390.0,4823908580.0,Decoration,Home Accessories,Decorative Objects,Decorative Trees,Tree,"PAPER (95.00%), MAGNETS (5.00%)",train
67860,536,Topchoice,2026_AW,4031A,"PORCELAIN CAT VASE IN WHITE COLOR, BIG SIZE: 15X8.5X34.5CM",4.57,15.0,8.5,34.5,,691310.0,6913100090.0,Decoration,Flower Pots & Vases,Vases,Unspecified,Vase,"GLAZE (5.00%), PORCELAIN (90.00%), WATER (5.00%)",train
74080,137,Suraj International,2026_AW,SI-11289_natural Medium,RECLAIMED TEAK WOOD WALL HANG SEHLF ( SPECIAL METAL CLIP TO HANG ON WALL )                                          79 X 21 X 20,14.4,79.0,21.0,20.0,5900.0,940360.0,,Furniture,Storage,Wall Shelves,Unspecified,Wall shelf,RECYCLED WOOD (100.00%),train
68661,470,Zhejiang Top1,2026_AW,BS287-965-2,LED Table Lamp                              gold metal+clear acylic                                                             1.5m cable+switch+ plug           Size:23x23x50cm,16.9,23.0,23.0,50.0,1590.0,940521.0,9405219090.0,Lighting,Desk & Table Lamps,Unspecified,Unspecified,Table lamp,"MATEL (50.00%), PLASTIC (50.00%)",train
42825,1007,Kenton,2026_AW,BH231442M,dog hanger,1.13,6.0,6.0,10.0,,392640.0,,Decoration,Home Accessories,Other,Garlands & hangers,Hanger, (%),train
74104,925,Magic Arts,2026_AW,MG3069651+MG3073151/MG3069651+MG3073151_1_20250806_110837,bear bookend/bear bookend,25.28,12.8,17.5,30.3,3300.0,392640.0,3926400000.0,Decoration,Home Accessories,Other,Bookends,Bookend,POLYRESIN (0.00%),train
60379,119,Forms,2026_AW,FCS-1779,C/STAND 3 MEN HOLDING BALLI 45.5 X 14 X 26 CMS,11.5,45.5,14.0,26.0,1300.0,830629.0,8306290000.0,Decoration,Home Accessories,Figurines,People,People,"IRON (60.00%), MANGO WOOD (40.00%)",train
75052,217,Rajkamal Overseas,2026_AW,77251,WOODEN BOWL   9.5 X 9.5 X 4.5  INCH,5.45,24.13,24.13,11.43,480.0,441920.0,4419209000.0,Tableware,Dinnerware,Bowls,Unspecified,Bowl,"MANGO WOOD (90.00%), PAINT (5.00%), RESIN (5.00%)",train
67746,727,Nanyang Arts And Crafts,2026_AW,NY9999801B,10.5” Insect with Frame GOLD,4.7,21.5,4.5,27.5,540.0,,,Decoration,Wall Decoration,Wall Objects,Unspecified,,"POLYRESIN (70.00%), MDF (30.00%)",train
75479,612,Glassboy,2026_AW,ML563330_1,ASSORTMENT OF 2 GLASS CANDLE HOLDER                     COLOR:COLOR:TRANSPARENT LIGHT GREEN /GREEN/D.GREEN               D:10CM,1.26,10.0,10.0,8.0,,701399.0,7013990090.0,Decoration,Candles & Candle Holders,Tealight Holders,Unspecified,Tealight holder,GLASS (100.00%),train
81877,1346,Meubel Collections Crest ,2026_AW,2024-033 C TABLE BASE,table base,30.0,28.0,28.0,56.0,9350.0,940360.0,,Furniture,Tables,Side Tables,Unspecified,Table Base,"MANGO WOOD (80.00%), GLASS (20.00%)",train
73994,778,Double Tree House,2026_AW,DT-25505D_1_20250805_114417,METAL TRAY L:54*47*6.5cm,9.2,54.0,47.0,6.5,3500.0,830629.0,8306290000.0,Tableware,Serveware,Trays,Unspecified,Tray,"MIRROR (30.00%), IRON (70.00%)",train
61588,229,Mahesh Handicrafts,2026_AW,2517-H CAMEL,LEATHER IRON SOFA IN ROUND TUBE,160.0,60.0,83.0,80.0,15000.0,940171.0,9401710000.0,Furniture,Sofas & Armchairs,Armchairs,Unspecified,Armchair,"LEATHER (70.00%), IRON (20.00%), FOAM (10.00%)",train
70897,137,Suraj International,2026_AW,SI-11242-RAY,RECLAIMED TEAK WOOD SET OF 3 COFFEE TABLE -               62X 51X34 / 55X44X38 /50X42X42,55.0,62.0,51.0,34.0,17500.0,940360.0,,Furniture,Tables,Coffee Tables,Unspecified,Coffee table,"RECYCLED WOOD (70.00%), MDF (15.00%), IRON (15.00%)",train
61804,225,Jhilmil Exports,2026_AW,SP25-2085,Glass candle Holde/vase            12x12x16,1.6,12.0,12.0,16.0,,702000.0,,Decoration,Flower Pots & Vases,Vases,Unspecified,,GLASS (1.00%),train
68051,89,Gmb Trade Linkers,2026_AW,66053,BRASS FLOWER VASE,10.07,20.5,20.5,29.5,1050.0,830629.0,8306290000.0,Decoration,Flower Pots & Vases,Vases,Unspecified,Vase,METAL (100.00%),train
72786,612,Glassboy,2026_AW,982502477-G,GLASS LAMP                   10.2*10.2*31.5CM                  COLOR:DARK GREEN-7497C,3.82,10.2,10.2,31.5,163.0,940550.0,9405500090.0,Decoration,Candles & Candle Holders,Tealight Holders,Unspecified,Tealight holder,GLASS (100.00%),train
78499,622,Lianda Ceramics,2026_AW,LD25A187-L,Vase with bird on a branch 35x27x46cm,14.5,35.0,27.0,46.0,13000.0,681099.0,,Decoration,Flower Pots & Vases,Vases,Unspecified,Vase,CEMENT (100.00%),train
59555,928,Champion Home,2026_AW,92459439,Tempered Glass Art 120X80X0.4CM,18.6,120.0,0.4,80.0,9600.0,491191.0,4911910090.0,Decoration,Wall Decoration,Prints & Posters,Unspecified,Wall decoration,"GLASS (90.00%), IRON (4.00%), POLYFOAM (4.00%), PAPER (2.00%)",train
84767,469,M&sense,2026_AW,green B,mixed wax in sprayed glass jar(6*11.2cmH) with lid and scent label into folded box,3.95,6.6,6.6,12.7,,340600.0,,Decoration,Home Fragrances,Scented Candles,Unspecified,Scented candle,"WAX (93.00%), FRAGRANCE (7.00%)",train
82476,638,Big Fortune Arts And Crafts,2026_AW,24A1024 matt black_A,SET METAL DECORATION 21x22x46HCM 17x18x36HCM A,0.0,21.0,22.0,46.0,,732399.0,,Decoration,Home Accessories,Decorative Objects,Objects,House,"METAL (60.00%), GLASS (40.00%)",train
61130,1185,Yarnsmith Arts,2026_AW,YSA 25/61,"MUSHROOM - LARGE                              7.25 X 7.25 X 12""",2.38,18.5,18.5,30.5,544.0,442019.0,4420190000.0,Decoration,Home Accessories,Decorative Objects,Objects,Mushroom,MANGO WOOD (100.00%),train
83074,225,Jhilmil Exports,2026_AW,JPM-6202-1,GLASS CANDLE HOLDER/ VASE,1.8,9.0,9.0,11.0,305.0,702000.0,,Decoration,Candles & Candle Holders,Tealight Holders,Unspecified,Candle holder,GLASS (100.00%),train
61452,1760,Tengxiang Arts & Crafts,2026_AW,SW17733 S,Small part of set 2,1.75,21.0,21.0,16.0,1200.0,442019.0,4420190000.0,Decoration,Flower Pots & Vases,Flower pots,Unspecified,Flowerpot,PAULOWNIA WOOD (100.00%),train
72609,1312,Umiss ,2026_AW,PF-4_20cm_Pantone 206U,"120gsm paper with magnet and white string,  Size：Dia 20cm (custom size)",0.95,20.0,20.0,,,950590.0,,Decoration,Home Accessories,Unspecified,Unspecified,,"PAPER (95.00%), MAGNETS (3.00%), STRING (2.00%)",train
66906,562,V&S,2026_AW,24CN20611-2,Glass with color and  100g wax 3% fragrance,0.79,6.1,6.1,11.0,280.0,340600.0,,Decoration,Candles & Candle Holders,Candles,Unspecified,,"GLASS (67.00%), PARAFFIN (33.00%)",train
66367,645,Minqian Arts & Crafts,2026_AW,T250882E672,METAL VASE26.5*26.5*35.5,6.2,26.5,26.5,35.5,1960.0,830629.0,8306290000.0,Decoration,Flower Pots & Vases,Vases,Unspecified,Vase,IRON (100.00%),train
70951,549,Wuxing Furniture,2026_AW,FR22023 -teal,LEISURE CHAIR D89*W76.5*H93CM,68.5,95.0,78.0,89.5,18500.0,,,Furniture,Sofas & Armchairs,Armchairs,Unspecified,Lounge Chair,"MATEL (80.00%), FABRIC (10.00%), FOAM (10.00%)",train
73535,194,Export House,2026_AW,108753,Shoe Horn Deer with Wood black top and bottom,4.15,8.0,6.0,59.0,270.0,820551.0,8205510000.0,Decoration,Home Accessories,Other,Other,Shoehorn,"ALUMINIUM (90.00%), WOOD (10.00%)",train
73755,784,Layn Sino Furniture,2026_AW,Cushion 2,Cushion burgundy color 2 pcs,5.0,50.0,50.0,,,940161.0,,Home Textiles,Cushions,Cushions & Cushion Covers,Unspecified,Cushion,"POLYESTER (50.00%), FILLING (50.00%)",train
