item_id,season,supplier_name,gt_color1,gt_color2,gt_color3,pred_detail_1,pred_detail_2,pred_detail_3,pred_main_1,pred_main_2,pred_main_3,is_multi,confidence_1,confidence_2,confidence_3,image_description,errors,latency_seconds,success,image_path
56067,2026_SS,Free Cloud,Multi,,,Multi,,,Multi,,,True,1.0,,,"The product features a vibrant abstract design with dominant colors of blue, yellow, and green. It includes accents of red, pink, and black, with a glossy finish. The composition is geometric with distinct blocks of color.",,10.05,True,../pics/2026_SS/Free Cloud_1567/images/56067_W2-36399-3_1_0_62271_merged_20241217_082106345.jpg
57664,2026_SS,Home Broad Arts And Crafts,Red,White,,Red,White,,Red,White,,False,0.9,0.85,,"The product is a spherical object with a glossy finish, predominantly red with white circular areas featuring numbers. The red and white colors are distinct and evenly distributed.",,25.19,True,../pics/2026_SS/Home Broad Arts And Crafts_1446/images/57664_24AB1353J_24AB1353K_24AB1353L_24AB1354J_0_62490_merged_20250122_072519737.jpg
73523,2026_AW,Export House,Black,,,Black,,,Black,,,False,0.9,,,The coat rack features a matte black finish with a uniform color across the reindeer shapes and hooks.,,10.98,True,../pics/2026_AW/Export House_2144/images/73523_108741_0_SAMPLE REQUEST SHEET-Export House-2026_AW-SF2144_20250814_100724292.jpg
54177,2026_SS,Zibo Beacon,Green,,,Green,Black,,Green,Black,,False,0.9,0.85,,The glass fish features a dominant green body with a glossy finish and transparent fins. It has a small black eye detail.,,8.87,True,../pics/2026_SS/Zibo Beacon_1708/images/54177_BQP0189-2_0_OK 2026_SS-Zibo Beacon-1708-INFORMATION-SHEET_20241129_102942002.jpg
57769,2026_SS,Rmv,Beige,,,Brown,Beige,White,Brown,Beige,White,False,0.85,0.85,0.85,"The product consists of three striped elephant figurines. The colors are brown, beige, and white, each with a matte finish and a ribbed texture.",,16.97,True,../pics/2026_SS/Rmv_1548/images/57769_RK250087-N1_N2_N3 BEIGE_0_RMV 1-2026 SELECTION SHEET.jpg
66938,2026_AW,V&S,Silver,,,Silver,,,Silver,,,False,0.95,,,"The product is predominantly silver with a glossy metallic finish, featuring a ribbed pattern.",,13.03,True,../pics/2026_AW/V&S_2140/images/66938_24DS18513-2_0_FINAL PRICE +PACK REV.jpg
73645,2026_AW,Youti,Camel,,,Camel,,,Brown,,,False,0.85,,,"The product is a chenille stem Christmas tree in a natural wood tone with a soft, textured finish.",,11.3,True,../pics/2026_AW/Youti_1771/images/73645_T187-25-light brown_0_ESTIMATED ORDER-Youti-2026_AW-SF1771 (1).jpg
57221,2026_SS,Top Pound,Black,,,Black,,,Black,,,False,0.95,,,The plant stand is predominantly black with a matte finish.,,10.03,True,../pics/2026_SS/Top Pound_982/images/57221_1-19369S_0_2026_SS-Top Pound-982-SELECTION-SHEET CP SELECTION.jpg
59248,2026_SS,Joyful Xianju Gifts Co L,Natural,White,,Natural,Light grey,Black,Natural,Grey,Black,False,0.95,0.85,0.8,"The product features a natural wood tone with a matte finish, accented by small black details for the eyes and light grey tails.",,11.71,True,../pics/2026_SS/Joyful Xianju Gifts Co L_1786/images/59248_JLP19802-3A_0_INFORMATION SHEET-Joyful Xianju Gifts Co L-2026_SS-SF1786.jpg
49895,2026_SS,Sitong,Off-white,Orange,,Orange,White,,Orange,White,,False,0.85,0.9,,The ceramic vase features alternating vertical stripes of orange and white with a glossy finish.,,9.58,True,../pics/2026_SS/Sitong_1762/images/49895_CV13384-14-CJ-240628-b orange_0_2026_SS-Sitong-1762-INFORMATION-SHEET.jpg
